,from_stop_I,to_stop_I,dep_time_ut,route_type,trip_I,seq,route_I,lat_from,lon_from,name_from,lat_to,lon_to,name_to,d,n_vehicles,route_I_counts,dep_Year,dep_Month,dep_Week,dep_Day,dep_Dayofweek,dep_Dayofyear,dep_Is_month_end,dep_Is_month_start,dep_Is_quarter_end,dep_Is_quarter_start,dep_Is_year_end,dep_Is_year_start,dep_Hour,dep_Minute,dep_Elapsed,dep_date,prediction,scheduled_date
482904,220,111,1462129380,2,186270,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,19,3,1462129380,9222,240.0,240.0
487485,220,111,1462135380,2,186456,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,20,43,1462135380,9322,240.0,240.0
483182,357,111,1462129680,2,189762,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,19,8,1462129680,9227,240.0,240.0
486840,357,111,1462134480,2,189928,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,20,28,1462134480,9307,240.0,240.0
492280,220,111,1462142580,2,186802,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,22,43,1462142580,9442,240.0,240.0
485497,357,111,1462132680,2,189901,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,19,58,1462132680,9277,240.0,240.0
485043,357,111,1462132080,2,189828,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,19,48,1462132080,9267,240.0,240.0
492945,357,111,1462144080,2,190079,6,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,23,8,1462144080,9467,240.0,240.0
491935,220,111,1462141980,2,186668,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,22,33,1462141980,9432,240.0,240.0
483630,357,111,1462130280,2,189857,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,19,18,1462130280,9237,240.0,240.0
486185,220,111,1462133580,2,186404,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,20,13,1462133580,9292,240.0,240.0
490345,357,111,1462139280,2,190040,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,21,48,1462139280,9387,240.0,240.0
486851,357,111,1462134480,2,189997,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,20,28,1462134480,9307,240.0,240.0
492709,357,111,1462143480,2,190055,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,22,58,1462143480,9457,240.0,240.0
488362,220,111,1462136580,2,186508,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,21,3,1462136580,9342,240.0,240.0
482638,357,111,1462129080,2,189833,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,18,58,1462129080,9217,240.0,240.0
488815,220,111,1462137180,2,186729,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,21,13,1462137180,9352,240.0,240.0
490897,220,111,1462140180,2,186634,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,22,3,1462140180,9402,240.0,240.0
485928,357,111,1462133280,2,189910,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,20,8,1462133280,9287,240.0,240.0
487708,357,111,1462135680,2,189951,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,20,48,1462135680,9327,240.0,240.0
